'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Cluster
172392,170340,33228,30880,200,9,4580236,185824,1117820,0,458036,928828,4580236,12,83220,23844,110960,7204,315280,1020,"-1,143224598","-1,347933587","0,185434355",7
172392,170340,33228,31372,200,9,4580460,185836,1117820,0,458584,928780,4580460,156,83592,23844,110908,7208,315088,1020,"-1,096863513","-1,30102594","0,2137846263",7
172392,170340,33228,31372,200,62,4579556,185872,1117824,0,458632,928780,4579556,160,83716,23844,110884,7208,315088,1020,"-0,837973996","-1,090466354","0,1094320942",7
172392,170340,33228,31372,200,47,4579552,185920,1117816,0,458668,928780,4579552,164,83712,23844,110856,7208,314756,1020,"-0,918862619","-1,154532012","0,1391557614",7
172392,170340,33228,31372,200,32,4579904,185952,1117824,0,458720,928772,4579904,152,83716,23844,110916,7204,314756,1530,"-1,18475211","-1,400627523","0,3722008979",6
172392,170340,33228,31372,200,18,4579892,185976,1117824,0,458764,928748,4579892,160,83712,23844,110948,7204,314500,1530,"-1,25757433","-1,461268932","0,4007643274",6
172392,170340,33228,31372,200,12,4579576,185992,1117824,0,458836,928696,4579576,140,83716,23844,110952,7208,314180,2040,"-1,469540412","-1,647691657","0,6625279272",6
172392,170340,33228,31372,200,9,4579732,186016,1117824,0,458884,928668,4579732,20,83712,23844,111096,7208,313780,1020,"-1,121377721","-1,328689194","0,2081109216",7
172392,170340,33228,31372,200,60,4579076,186056,1117820,0,458916,928672,4579076,152,83712,23844,110916,7204,315656,1020,"-0,835575407","-1,108941728","0,0905681077",7
172392,170340,33228,31372,200,48,4579552,186068,1117828,0,458972,928640,4579552,176,83716,23844,111004,7208,315376,1020,"-0,889942843","-1,145763863","0,1400081742",7
172392,170340,33228,31372,200,32,4579308,186108,1117828,0,459016,928636,4579308,152,83716,23844,111024,7208,315300,1530,"-1,151752484","-1,383639864","0,3982560888",6
172392,170340,33228,31372,200,15,4579932,186144,1117828,0,459064,928620,4579932,156,83712,23844,110932,7208,317464,1530,"-1,171046855","-1,410772604","0,4347546403",6
172392,170340,33228,31372,200,9,4579236,186172,1117828,0,459124,928592,4579236,144,83716,23844,111052,7204,317244,1530,"-1,210363876","-1,460394799","0,4236502279",6
172392,170340,33228,31372,200,55,4579240,186196,1117832,0,459180,928564,4579240,164,83716,23844,110948,7208,319604,1530,"-0,914554298","-1,222378768","0,3583930897",6
172392,170340,33228,31372,200,55,4579116,186232,1117832,0,459232,928544,4579116,24,83712,23844,110984,7204,315048,1530,"-1,059129219","-1,313593892","0,3199967107",6
172392,170340,33228,31372,200,47,4578692,186264,1117832,0,459280,928528,4578692,160,83712,23844,110932,7208,317156,1020,"-0,837201877","-1,124484152","0,1438629358",7
172392,170340,33228,31372,200,36,4579020,186292,1117832,0,459328,928512,4579020,148,83716,23844,111004,7208,316948,1020,"-0,894381213","-1,172064844","0,165462913",7
172392,170340,33228,31372,200,23,4579124,186320,1117832,0,459380,928484,4579124,152,83712,23844,110920,7208,316928,1020,"-0,958129494","-1,220864368","0,1910834868",7
172392,170340,33228,31372,200,9,4579492,186360,1117832,0,459428,928480,4579492,156,83716,23844,111024,7208,314748,1530,"-1,273594436","-1,483666643","0,4439042105",6
