'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Cluster
170344,170340,31948,31912,200,9,4668936,98824,1117028,0,407620,892440,4668936,8159224,18464,0,84208,23740,109092,7208,316448,1530,0,2,"-2,648354065","-0,276083613","1,0622530928","0,0142883824",5
170344,170340,31948,31912,200,62,4668636,98928,1117028,0,407616,892536,4668636,8159224,14372,0,84204,23740,109108,7208,314192,1530,0,2,"-2,463984095","-0,148102824","0,742717132","0,0458157722",5
170344,170340,31948,31912,200,53,4668336,99024,1117028,0,407616,892632,4668336,8159224,10352,0,84204,23740,109172,7208,316248,1530,0,2,"-2,441844604","-0,196683145","0,5543637824","0,0406524863",5
170344,170340,31948,31912,200,36,4668472,99120,1117028,0,407620,892736,4668472,8159224,6216,0,84208,23740,109088,7204,318304,1530,0,2,"-2,471659799","-0,286663419","0,3543067289","0,030169293",5
170344,170340,31948,31912,200,27,4668544,99224,1117028,0,407620,892832,4668544,8159224,1944,0,84208,23740,109120,7208,316128,1530,0,2,"-2,567419069","-0,386717228","0,1689778872","0,0229490974",6
170344,170340,31948,31912,200,12,4668532,99320,1117028,0,407624,892932,4668532,8159224,32,0,84208,23740,109188,7204,316032,1530,0,2,"-2,648518826","-0,485457797","0,0800598539","0,0129697672",6
170344,170340,31948,31912,200,9,4668440,99416,1117028,0,407624,893028,4668440,8159224,32,0,84208,23740,109080,7204,316072,1530,0,2,"-2,662399393","-0,49450247","0,0852534986","0,0109993076",6
170344,170340,31948,31912,200,9,4668456,99520,1117028,0,407624,893132,4668456,8159224,32,0,84208,23740,109016,7204,316072,1530,0,2,"-2,66276471","-0,493272754","0,0846956085","0,010912305",6
170344,170340,31948,31912,200,61,4667784,99616,1117028,0,407620,893228,4667784,8159224,32,0,84204,23740,109164,7208,316072,1020,0,2,"-2,218419778","-0,11084062","-0,203511985","-0,011063709",6
172388,170340,32156,31912,200,46,4668632,99720,1117028,0,407624,893324,4668632,8159224,160,0,84208,23740,109052,7204,313720,1020,0,2,"-2,315300735","-0,182100254","-0,211931","-0,021501322",6
172388,170340,32156,31912,200,36,4668108,99816,1117028,0,407624,893428,4668108,8159224,144,0,84208,23740,109048,7208,315884,1020,0,2,"-2,285223978","-0,175126457","-0,170618481","-0,026508498",6
172388,170340,32156,31912,200,24,4667816,99904,1117036,0,407624,893524,4667816,8159224,56,0,84208,23740,109096,7204,315884,1020,0,2,"-2,348856379","-0,242366189","-0,170634686","-0,034307153",6
172388,170340,32156,31912,200,12,4668052,100008,1117036,0,407632,893620,4668052,8159224,36,0,84208,23740,109028,7204,315280,510,0,2,"-2,240914485","-0,126219636","-0,355411108","-0,097154333",6
172388,170340,32156,31912,200,9,4667952,100104,1117036,0,407636,893716,4667952,8159224,44,0,84212,23740,108968,7208,317332,1020,0,2,"-2,367242103","-0,260060063","-0,121328317","-0,042940227",6
172388,170340,32156,31912,200,59,4667436,100200,1117036,0,407636,893804,4667436,8159224,32,0,84212,23740,108928,7208,312972,1020,0,2,"-2,259914217","-0,134155716","-0,224908034","-0,013863536",6
172388,170340,32156,31912,200,43,4667680,100296,1117036,0,407632,893900,4667680,8159224,20,0,84208,23740,109172,7208,317104,1020,0,2,"-2,207364817","-0,13917561","-0,188672105","-0,021696417",6
